BORE_SUBTY,STATUS,SPUD_DATE,LATITUDE,LONGITUDE
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1999-05-21,-25.597086,148.928702
EXPLORATION WELL,PLUGGED AND ABANDONED,1999-05-31,-25.643991,148.637522
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1999-06-01,-25.613283,148.928716
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-06-13,-25.624005,148.936755
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1999-06-22,-25.614292,148.969199
EXPLORATION WELL,PLUGGED AND ABANDONED,1999-06-27,-25.644394,148.69143
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1999-07-01,-25.604703,148.977241
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-07-10,-25.592227,148.983233
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-07-17,-25.605028,148.91525
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-07-24,-25.612981,148.908122
EXPLORATION WELL,PLUGGED AND ABANDONED,1999-07-31,-25.209036,150.1105
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1999-09-07,-25.897214,150.077849
DEVELOPMENT WELL,PRODUCING HYDROCARBONS,1999-10-04,-24.769388,150.008972
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,1999-10-06,-24.77053,150.021291
DEVELOPMENT WELL,PRODUCING HYDROCARBONS,1999-10-08,-24.767277,150.015464
DEVELOPMENT WELL,PRODUCING HYDROCARBONS,1999-10-10,-24.777338,150.019538
DEVELOPMENT WELL,PRODUCING HYDROCARBONS,1999-10-12,-24.784514,150.017952
DEVELOPMENT WELL,PRODUCING HYDROCARBONS,1999-10-14,-24.78008,150.015839
DEVELOPMENT WELL,PRODUCING HYDROCARBONS,1999-10-16,-24.778377,150.010875
DEVELOPMENT WELL,PRODUCING HYDROCARBONS,1999-10-18,-24.77703,150.006372
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-04-18,-23.063792,144.762939
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-05-18,-25.929138,150.080372
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-05-19,-23.068013,144.760475
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-05-27,-25.700825,148.895658
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-05-30,-25.93875,150.058889
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-05-31,-23.061011,144.759775
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-06-10,-26.030097,150.098502
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-06-15,-26.008386,150.099597
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-06-16,-23.060242,144.765783
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-06-17,-25.569735,148.867405
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-07-03,-25.77921,148.965647
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-07-25,-25.806864,149.051178
EXPLORATION WELL,WATER BORE,2000-08-18,-25.955447,148.765433
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-08-21,-25.482669,148.918569
EXPLORATION WELL,WATER BORE,2000-08-22,-25.955142,148.637741
EXPLORATION WELL,PLUGGED AND ABANDONED,2000-08-26,-25.546472,148.062922
EXPLORATION WELL,PLUGGED AND ABANDONED,2000-09-19,-21.961146,148.038091
EXPLORATION WELL,PLUGGED AND ABANDONED,2000-09-19,-21.963107,148.066192
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,2000-09-21,-24.655708,149.065008
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-10-12,-24.74063,150.018985
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-10-12,-24.730349,150.017852
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-10-13,-24.745461,150.000186
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-10-13,-24.744436,150.014764
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-10-15,-24.7449,150.007486
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-10-15,-24.7415,150.011275
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-10-16,-24.722002,150.004844
DEVELOPMENT WELL,SUSPENDED/CAPPED/SHUT-IN,2000-10-16,-24.722955,150.012369
